feature,gain
atrV,23
slope5V,21
prix_vs_ema200,17
priceStd5V,16
distPriceToCloud,14
distKijunToCloud,14
tenkan,13
slope20V,13
distance_to_sl_art,11
rsi_vs_ema_rsi,10
zScore50V,9
slope10V,7
sl_size_in_atr,7
volume,7
priceStd10V,7
priceStd20V,7
hour_of_day,6
rsiV,6
spanA,5
kijun,4
spanB,1
volatility_regime,0
type,0
